Ygrowth,Igrowth,Cgrowth,N,wgrowth,RB,pi,sigma2,TOP10Wshare,TOP10Ishare,tauprog
0.0037620927692161178,0.02310133367782273,0.001941185851127479,-0.07617796752167738,-0.0007494145391599605,0.013759753169339212,0.0020661686884147386,-0.7146420119055188,NaN,NaN,NaN
0.02043001423630185,0.07395897158426211,0.0123056306054933,-0.06782047844716566,-0.0010739436926513646,0.012211147012643201,0.0019253402351478328,-0.5823655952185902,NaN,NaN,NaN
0.017068371585885464,0.04986477345506567,0.009967160564939313,-0.051195363858231424,-0.00853397382786793,0.012578138947017405,0.005119872458468056,-0.2883581296202644,NaN,NaN,NaN
0.014196402252614192,0.08200344843897421,0.008033289236202855,-0.035727177508127816,0.0005457020914795096,0.014183164568688317,0.0020850725355792583,0.1460485874618298,-0.07967961711524485,-0.16189682631845448,0.3533742930056185
0.017190745819074968,0.0814746305067695,0.0005278470502615637,-0.019863456179074035,-0.001991999404209872,0.014109894654503408,0.004622425342163439,1.01140161695563,NaN,NaN,NaN
0.011291358324378763,0.021253756345017458,0.0062106668494502845,-0.009993768419257698,-0.0013815196084966575,0.01473658602952219,0.0030550929458910588,0.21170259292450577,NaN,NaN,NaN
0.0015529671624923014,0.01068626155265394,-0.0002683504589201316,-0.008687445193833021,0.0023299793539423397,0.016857908546622162,0.003387370813121838,0.10222974015355746,NaN,NaN,NaN
0.0012652037931661798,-0.023735407808950462,0.0052218299773076,-0.005183884087540669,-0.0028100997216516555,0.018885615824128194,0.0019869527562115692,0.36256485165315855,-0.07567544743431975,-0.1298740427616486,0.3609745710937571
-0.0020594566958547344,-0.038467903475896584,0.009255699940576755,-0.0001890809814844019,-0.0006092506839760104,0.013710886469541956,0.004377579416871936,0.4149157595023425,NaN,NaN,NaN
0.006328195933993129,0.006261129594467884,0.0015480999997189646,0.0036603395813825657,-0.0002906804380574846,0.011778739269886533,0.0009524850398657143,0.15897218615545583,NaN,NaN,NaN
0.007787386810730311,-0.017448656895783024,0.011260265083466912,0.0035482958719628144,0.005312118050258257,0.010423194394672007,0.0005586202034620243,0.48593303510878094,NaN,NaN,NaN
0.003354009671145285,0.025618042578744657,-0.005353881876721679,0.0056563687474247,0.009797460253789175,0.010365992467768488,0.00011307657640085081,0.623203654886793,-0.08208983761198335,-0.12741065024728526,0.36690093244920874
-3.6420515262548456e-5,-0.010867879205775045,0.0011885835870165881,0.001343117236198843,0.005892643523820223,0.010864356455354572,-0.0004999089213947976,-0.669917198745317,NaN,NaN,NaN
-0.00241309541103908,-0.028142209395210407,0.0033507173043242564,-0.004219858058407411,0.0043828393192438635,0.010186193678474266,-0.0016838461306509338,-0.6276913334625274,NaN,NaN,NaN
0.004008262565035047,-0.0377947000738308,0.010065473671419987,-0.002012101033193048,0.004988966555326917,0.00796055206980343,-0.0013706509075126043,0.07438983733538329,NaN,NaN,NaN
-0.0033332622579724924,-0.007518228144182805,-0.0013460796774638975,0.0026864762202380987,0.004528770598170622,0.00620600743224285,-2.6602632616955918e-5,0.12424714433204453,-0.08016119670557781,-0.13399323024197962,0.48036024673492905
0.0013287842475395596,0.01615205349072911,-0.0064847164755151634,0.012272422258518212,-0.005326642329647819,0.006353704587700121,0.0009150330105159206,0.5082148559204009,NaN,NaN,NaN
0.0041616953880587605,-0.009937645797687201,0.006121219656391695,0.015205855519641709,-0.002963649622496529,0.006238830907595364,0.0014417721987543437,-0.331908176255018,NaN,NaN,NaN
